Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1275,CALS5375,,"Ag Methane Advisors, LLC","Ag Methane Advisors, LLC",Chaput Family Farms,Chaput Family Farms,"Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Registered,Active ARB Project,North Troy,VERMONT,US,,,,17016,09/29/2017,11/13/2020,View,View,
CAR457,NA,,Charleston Clean Energy LLC,Charleston Clean Energy LLC,Charleston Landfill Gas Utilization Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,"Charleston, West Virginia",WEST VIRGINIA,US,,,,141190,07/22/2009,04/07/2011,View,View,
CAR627,NA,,"Element Markets Emissions, LLC","Element Markets Emissions, LLC",Charlotte County Zemel Road Landfill Gas Capture Project,,,"First Environment, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,"Charlotte County, FL",FLORIDA,US,,,,172409,02/07/2020,05/04/2012,View,View,
CAR424,NA,,Chautauqua County,Chautauqua County,Chautauqua County,,,NSF Certification LLC,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,"Ellery, New York",NEW YORK,US,,,Exceeded regulatory threshold requiring LFG Destruction 6/2010. No longer eligible for crediting,459916,05/04/2009,07/23/2009,View,View,79.319016
CAR1490,CAFR6490,,Sierra Pacific Industries,Sierra Pacific Industries,CHD Refo,Sierra Pacific Industries,None,,Reforestation - ARB Compliance,Listed,Proposed Project,Shasta & Trinity Counties,CALIFORNIA,US,,,,,06/17/2021,,View,View,
CAR1264,CAFR5364,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.",Chugach Alaska Forest Carbon Project,Chugach Alaska Corporation,"Forest Carbon Partners, L.P.",SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Gulf of Alaska region,ALASKA,US,,,,7277766,06/06/2017,08/15/2019,View,View,www.forestcarbonpartners.com
CAR1347,NA,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido Cima de Togo,Cima de Togo - ASRTulancingo,,,,Forestry - MX,Registered,Not ARB Eligible,Cima de Togo,HIDALGO,MX,,,,9982,06/24/2019,03/09/2021,View,View,
CAR772,NA,,Citrus County Division of Solid Waste Management,Citrus County Division of Solid Waste Management,"Citrus County, Florida Landfill Gas Flare Project",,,,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,Citrus County; Lecanto,FLORIDA,US,,,,144980,12/07/2010,02/22/2012,View,View,
CAR545,NA,,Garland Power & Light,Garland Power & Light,City of Garland Landfill Carbon Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,"3175 Elm Grove, Rowlett, Texas",TEXAS,US,,,,951069,12/11/2009,10/25/2011,View,View,
CAR507,NA,,"ISCCP Americas, Inc.","ISCCP Americas, Inc.",City of Lee's Summit Resource Recovery Park,,,"LRQA  Americas Sustainability, Inc. (Formerly RMA)",Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,"Jackson County, Missouri",MISSOURI,US,,,"Project moved to completed on 2/26/2013, due to missing the continuous reporting requirement",5548,11/11/2009,06/22/2011,View,View,
CAR887,NA,,"City of Thomasville, Georgia","City of Thomasville, Georgia",City of Thomasville MSW Landfill,,,"First Environment, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,"Thomas County, GA",GEORGIA,US,,,,508707,08/25/2011,09/06/2013,View,View,
CAR1696,NA,,Biogas de Juarez S.A. DE C.V.,Biogas de Juarez S.A. DE C.V.,Ciudad Juarez Landfill Gas to Energy Project,,,,Landfill - MX,Listed,Not ARB Eligible,"27.5 of Federal Highway number 45, Ciudad Juarez",CHIHUAHUA,MX,,,,,04/06/2023,,View,View,http://biogasdejuarez.com/
CAR773,NA,,Trinity Carbon Management LLC,Trinity Carbon Management LLC,Clayton County Landfill Gas Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,Clayton County,GEORGIA,US,,,,91210,07/12/2010,03/27/2012,View,View,
CAR1182,CAOD5222,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 16 and 17,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Bowling Green, Ohio",OHIO,US,,,,245955,10/13/2015,03/22/2016,View,View,www.climeco.com
CAR1250,CAOD5333,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 18 and 19,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,226896,12/27/2016,04/24/2017,View,View,www.climeco.com
CAR1258,CAOD5338,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 20,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,72606,05/01/2017,08/14/2017,View,View,www.climeco.com
CAR1271,CAOD5366,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 21,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,140452,07/31/2017,11/30/2017,View,View,www.climeco.com
CAR1277,CAOD5327,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 22,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,53956,09/27/2017,04/10/2018,View,View,www.climeco.com
CAR1278,CAOD5328,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 23,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,44681,10/13/2017,08/17/2018,View,View,www.climeco.com
CAR1279,CAOD5329,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 24,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,56727,04/21/2018,08/31/2018,View,View,www.climeco.com
CAR1280,CAOD5330,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 25,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,71572,02/10/2018,08/03/2018,View,View,www.climeco.com
CAR1300,CAOD6300,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 26,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,123703,06/08/2018,11/16/2018,View,View,www.climeco.com
CAR1301,CAOD6301,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 27,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,50473,06/28/2018,11/16/2018,View,View,www.climeco.com
CAR1302,CAOD6302,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 28,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"East Liverpool, Ohio",OHIO,US,,,,58745,09/12/2018,12/26/2018,View,View,www.climeco.com
CAR1309,CAOD6309,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 29,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,97696,10/02/2018,04/26/2019,View,View,www.climeco.com
CAR1310,CAOD6310,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 30,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,140146,01/04/2019,05/28/2019,View,View,www.climeco.com
CAR1326,CAOD6326,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 31,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,"East Liverpool, Ohio",OHIO,US,,,,56139,01/15/2019,06/24/2019,View,View,www.climeco.com
CAR1376,CAOD6376,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 32,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active Registry Project,"East Liverpool, Ohio",OHIO,US,,,,96280,08/20/2019,02/18/2020,View,View,www.climeco.com
CAR1401,CAOD6401,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 33,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,East Liverpool,OHIO,US,,,,119156,04/09/2020,08/27/2020,View,View,www.climeco.com
CAR1456,CAOD6456,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 34,ClimeCo Corporation,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,East Liverpool,OHIO,US,,,,127338,09/25/2020,12/22/2020,View,View,www.climeco.com
CAR1515,CAOD6515,,ClimeCo LLC,ClimeCo LLC,ClimeCo ODS Destruction 35,ClimeCo LLC,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,East Liverpool,OHIO,US,,,,122101,08/27/2021,01/28/2022,View,View,www.climeco.com
CAR471,NA,,"New England Waste Services of NY, Inc.","New England Waste Services of NY, Inc.",Clinton County Landfill Methane Destruction Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,"Morrisonville, NY",NEW YORK,US,,,,247047,07/23/2009,07/13/2011,View,View,
CAR535,NA,,"Covanta Semass, L.P.","Covanta Semass, L.P.",CMW Landfill Methane Reduction Project,,,"First Environment, Inc.",Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,Carver,MASSACHUSETTS,US,,,,41716,11/17/2009,06/05/2012,View,View,
CAR467,NA,,Coffee County Commission,Coffee County Commission,Coffee County Sanitary Landfill Gas Collection System,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,Coffee County,ALABAMA,US,,,,416102,07/30/2009,04/05/2010,View,View,
CAR1335,NA,,"ClimeCo Corp MCK NAP2, LLC.","ClimeCo Corp MCK NAP2, LLC.",Coffeyville NAP2,,,,Nitric Acid N2O- Tertiary Catalyst,Registered,Not ARB Eligible,"Coffeyville, Kansas",KANSAS,US,,,,1040758,04/02/2019,08/31/2020,View,View,
CAR1382,CAFR6382,,Sierra Pacific Industries,Sierra Pacific Industries,Cohasset 2019,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Registered,Active Registry Project,Butte and Tehama Counties,CALIFORNIA,US,,,,162382,10/29/2019,08/30/2022,View,View,
CAR480,NA,,"PPL EnergyPlus, LLC","PPL EnergyPlus, LLC",Colebrook Landfill,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,Coos County; Colebrook,NEW HAMPSHIRE,US,,,,17535,09/24/2009,05/06/2011,View,View,
CAR1487,CAFR6487,,RenewWest,RenewWest,Collins - Modoc Reforestation,"Collins Timber Company, LLC",RenewWest,"Ruby Canyon Environmental, Inc.",Reforestation - ARB Compliance,Listed,Proposed Project,"Modoc County, CA",CALIFORNIA,US,,,,,05/03/2021,,View,View,
CAR1573,NA,,ALVARO RENE RIVERA JARAMILLO,Comunidad Chavarría Nuevo,Comunidad Chavarría Nuevo,,,,Forestry - MX,Listed,Not ARB Eligible,Durango,DURANGO,MX,,,,,02/09/2023,,View,View,www.agesamex.com
CAR1648,NA,,ALVARO RENE RIVERA JARAMILLO,Comunidad El Tarahumar y Bajíos del Tarahumar,Comunidad El Tarahumar y Bajíos del Tarahumar,,,THEEARTHLAB S.A de C.V,Forestry - MX,Listed,Not ARB Eligible,"Municpio de Tepehuanes, al norte del estado de Durango",DURANGO,MX,,,,,12/05/2022,,View,View,www.agesamex.com
CAR1496,NA,CARC1502,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",COMUNIDAD RIO Y PAPUDOS,Comunidad Rio y Papudos,,,,Forestry - MX,Registered,Not ARB Eligible,Canelas,DURANGO,MX,,5. Gender Equality;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;13. Climate Action;15. Life on Land,,10193,07/14/2021,05/06/2022,View,View,
CAR1595,NA,CARC1583,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",COMUNIDAD SANTA  ANA,COMUNIDAD SANTA ANA,,,"Ruby Canyon Environmental, Inc.",Forestry - MX,Listed,Not ARB Eligible,TAMAZULA,DURANGO,MX,,,,,09/28/2022,,View,View,
CAR1657,NA,CARC1656,BRET Consultores,BRET Consultores,Comunidad Tutuaca,,,"Asociacion de Normalizacion y Certificacion, A.C.",Forestry - MX,Listed,Not ARB Eligible,"Comunidad Tutuaca, Temósachic",CHIHUAHUA,MX,,,CAR1657 is under CARC1665. CARC1656 is a temporary aggregate. See project documents for details.,,11/16/2022,,View,View,
CAR1664,NA,CARC1665,Bioforestal Innovación Sustentable S.C.,Condueñazgo Memelichi,Condueñazgo Memelichi,,,"Asociacion de Normalizacion y Certificacion, A.C.",Forestry - MX,Listed,Not ARB Eligible,"Memelichi de Abajo, Ocampo",CHIHUAHUA,MX,,,,,11/16/2022,,View,View,
CAR1674,NA,,Toroto SAPI de CV,Conhuás,Conhúas,,,"Ruby Canyon Environmental, Inc.",Forestry - MX,Listed,Not ARB Eligible,Calakmul,CAMPECHE,MX,,,,,12/02/2022,,View,View,Toroto.com
CAR1285,NA,,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,EJIDO SANTIAGO COLTZINGO,Conservación y Captura de Carbono Co2ltzingo,,,,Forestry - MX,Registered,Not ARB Eligible,Santiago Coltzingo,PUEBLA,MX,,1. No Poverty;2. Zero Hunger;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,40682,05/05/2022,04/10/2019,View,View,www.icico.org.mx
CAR1219,CAOD5260,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2015-3,"Coolgas, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,108622,01/26/2016,05/10/2016,View,View,www.coolgas.com
CAR1222,CAOD5282,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2016-1,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,145594,03/08/2016,08/02/2016,View,View,www.coolgas.com
